Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,Constituency number
Kunwar  Chand,Samajwadi Party,68803,296,69099,27.44,AgraCantt.,87
Dr. G S Dharmesh,Bharatiya Janata Party,117352,444,117796,46.78,AgraCantt.,87
Dr.  Bhartendra Kumar Arun,Bahujan Samaj Party,54216,193,54409,21.61,AgraCantt.,87
Sikandar Singh,Indian National Congress,5548,42,5590,2.22,AgraCantt.,87
Prem Singh,Aam Aadmi Party,1114,11,1125,0.45,AgraCantt.,87
Mona,Peace Party,419,1,420,0.17,AgraCantt.,87
Sundar Singh,Bharatiya Majdoor Janta Party,420,1,421,0.17,AgraCantt.,87
Akash Soni,Independent,363,2,365,0.14,AgraCantt.,87
Prakash Indiver,Independent,617,2,619,0.25,AgraCantt.,87
Hari Kishan,Independent,552,0,552,0.22,AgraCantt.,87
NOTA,None of the Above,1414,6,1420,0.56,AgraCantt.,87
PURUSHOTTAM KHANDELWAL,Bharatiya Janata Party,153165,652,153817,63.89,AgraNorth,89
VINOD BANSAL,Indian National Congress,5910,23,5933,2.46,AgraNorth,89
SHABBIR ABBAS,Bahujan Samaj Party,41281,166,41447,17.22,AgraNorth,89
GYANENDRA,Samajwadi Party,34105,298,34403,14.29,AgraNorth,89
OM PRAKASH RAJPUT,Adarsh Samaj Party,154,1,155,0.06,AgraNorth,89
KAPIL VAJPAI,Aam Aadmi Party,1931,14,1945,0.81,AgraNorth,89
NEEL,Bharatiya Majdoor Janta Party,130,1,131,0.05,AgraNorth,89
MOHIT AGARWAL,Jan Abhiyan Party,171,0,171,0.07,AgraNorth,89
RAJEEV AGARWAL,Saman Adhikar Party,106,0,106,0.04,AgraNorth,89
NIRANJAN SINGH,Independent,157,0,157,0.07,AgraNorth,89
MANISH,Independent,406,0,406,0.17,AgraNorth,89
VINEET AGARWAL,Independent,263,0,263,0.11,AgraNorth,89
SASHANK AGARWAL,Independent,210,0,210,0.09,AgraNorth,89
NOTA,None of the Above,1599,9,1608,0.67,AgraNorth,89
UPENDRA SINGH,Indian National Congress,3740,30,3770,1.44,AgraRural,90
KIRAN PRABHA KESHARI,Bahujan Samaj Party,60503,199,60702,23.26,AgraRural,90
BABY RANI MAURYA,Bharatiya Janata Party,136691,619,137310,52.63,AgraRural,90
MAHESH KUMAR,Rashtriya Lok Dal,52325,406,52731,20.21,AgraRural,90
ARUN KUMAR KATHERIA,Aam Aadmi Party,1898,10,1908,0.73,AgraRural,90
BALVIR,Rashtriya Samaj Paksha,982,1,983,0.38,AgraRural,90
PANKAJ KUMAR,Independent,501,1,502,0.19,AgraRural,90
RAJENDRA SINGH,Independent,860,0,860,0.33,AgraRural,90
SURESH CHAND VARUN,Independent,943,1,944,0.36,AgraRural,90
