No.,Constituency,Name,Party,Alliance,Remarks,District
1,Behat,Umar Ali Khan,Samajwadi Party,SP+,,Saharanpur 
2,Nakur,Mukesh Choudhary,Bharatiya Janata Party,NDA,,Saharanpur 
3,Saharanpur Nagar,Rajiv Gumber,Bharatiya Janata Party,NDA,,Saharanpur 
4,Saharanpur,Ashu Malik,Samajwadi Party,SP+,,Saharanpur 
5,Deoband,Brijesh Singh Rawat,Bharatiya Janata Party,NDA,MOS,Saharanpur 
6,Rampur Maniharan (SC),Devendra Kumar Nim,Bharatiya Janata Party,NDA,,Saharanpur 
7,Gangoh,Kirat Singh Gurjar,Bharatiya Janata Party,NDA,,Saharanpur 
8,Kairana,Nahid Hasan,Samajwadi Party,SP+,,Shamli 
9,Thana Bhawan,Ashraf Ali Khan,Rashtriya Lok Dal,SP+,,Shamli 
10,Shamli,Persann Kumar Choudhary,Rashtriya Lok Dal,SP+,,Shamli 
11,Budhana,Rajpal Singh Baliyan,Rashtriya Lok Dal,SP+,,Muzaffarnagar 
12,Charthawal,Pankaj Kumar Malik,Samajwadi Party,SP+,,Muzaffarnagar 
13,Purqazi (SC),Anil Kumar,Rashtriya Lok Dal,SP+,,Muzaffarnagar 
14,Muzaffarnagar,Kapil Dev Aggarwal,Bharatiya Janata Party,NDA,MOS (I/C),Muzaffarnagar 
15,Khatauli,Vikram Singh Saini,Bharatiya Janata Party,NDA,,Muzaffarnagar 
16,Meerapur,Chandan Chauhan,Rashtriya Lok Dal,SP+,,Muzaffarnagar 
17,Najibabad,Tasleem Ahmed,Samajwadi Party,SP+,,Bijnor 
18,Nagina (SC),Manoj Kumar Paras,Samajwadi Party,SP+,,Bijnor 
19,Barhapur,Sushant Kumar,Bharatiya Janata Party,NDA,,Bijnor 
20,Dhampur,Ashok Kumar Rana,Bharatiya Janata Party,NDA,,Bijnor 
21,Nehtaur (SC),Om Kumar,Bharatiya Janata Party,NDA,,Bijnor 
22,Bijnor,Suchi Chaudhary,Bharatiya Janata Party,NDA,,Bijnor 
23,Chandpur,Swami Omvesh,Samajwadi Party,SP+,,Bijnor 
24,Noorpur,Ram Avatar Singh,Samajwadi Party,SP+,,Bijnor 
25,Kanth,Kamal Akhtar,Samajwadi Party,SP+,,Moradabad 
26,Thakurdwara,Nawab Jan,Samajwadi Party,SP+,,Moradabad 
27,Moradabad Rural,Mohd Nasir Qureshi,Samajwadi Party,SP+,,Moradabad 
28,Moradabad Nagar,Ritesh Kumar Gupta,Bharatiya Janata Party,NDA,,Moradabad 
29,Kundarki,Zia Ur Rehman,Samajwadi Party,SP+,,Moradabad 
30,Bilari,Mohammad Faheem Irfan,Samajwadi Party,SP+,,Moradabad 
31,Chandausi (SC),Gulab Devi,Bharatiya Janata Party,NDA,MOS (I/C),Sambhal 
32,Asmoli,Pinki Singh Yadav,Samajwadi Party,SP+,,Sambhal 
33,Sambhal,Iqbal Mehmood,Samajwadi Party,SP+,,Sambhal 
34,Suar,Abdullah Azam Khan,Samajwadi Party,SP+,,Rampur 
35,Chamraua,Naseer Ahmed Khan,Samajwadi Party,SP+,,Rampur 
36,Bilaspur,Baldev Singh Aulakh,Bharatiya Janata Party,NDA,MOS,Rampur 
37,Rampur,Azam Khan,Samajwadi Party,SP+,,Rampur 
38,Milak (SC),Rajbala,Bharatiya Janata Party,NDA,,Rampur 
39,Dhanaura (SC),Rajeev Tarara,Bharatiya Janata Party,NDA,,Amroha 
