Constituency,Constituency number
AgraCantt.,87
AgraNorth,89
AgraRural,90
AgraSouth,88
Ajagara,385
Akbarpur,281
Akbarpur-Raniya,206
Alapur,279
Aliganj,103
Aligarh,76
AllahabadNorth,262
AllahabadSouth,263
AllahabadWest,261
Amanpur,101
Amethi,186
Amritpur,193
Amroha,41
Anupshahr,67
Aonla,126
AryaNagar,214
Asmoli,32
Atrauli,73
Atrauliya,343
Aurai,394
Auraiya,204
AyahShah,241
Ayodhya,275
Azamgarh,347
Babaganj,245
Baberu,233
Babina,222
Bachhrawan,177
Badaun,115
Badlapur,364
Baghpat,52
Bah,94
Baheri,118
Bahraich,286
Bairia,363
BakshiKaaTalab,169
Balamau,160
Baldev,85
Balha,282
BalliaNagar,361
Balrampur,294
Banda,235
Bangermau,162
Bansdih,362
Bansgaon,327
Bansi,304
Bara,264
Barabanki,268
Barauli,72
Baraut,51
Bareilly,124
BareillyCantt.,125
Barhaj,342
Barhapur,19
Barkhera,128
BastiSadar,310
Behat,1
BeltharaRoad,357
Bhadohi,392
Bhagwantnagar,166
Bharthana,201
BhatparRani,340
Bhinga,289
Bhognipur,208
Bhojipura,120
Bhojpur,195
Bhongaon,108
Bidhuna,202
Bijnor,22
Bikapur,274
Bilari,30
Bilaspur,36
Bilgram-Mallanwan,159
Bilhaur,209
Bilsi,114
Bindki,239
Bisalpur,130
Bisauli,112
Biswan,149
BithariChainpur,123
Bithoor,210
Budhana,11
Bulandshahr,65
Caimpiyarganj,320
Chail,253
Chakia,383
Chamraua,35
Chandausi,31
Chandpur,23
Charkhari,231
Charthawal,12
Chauri-Chaura,326
Chhanbey,395
Chhaprauli,50
Chharra,74
Chhata,81
Chhibramau,196
Chillupar,328
Chitrakoot,236
Chunar,398
Colonelganj,298
Dadraul,136
Dadri,62
Dariyabad,270
Dataganj,117
Debai,68
Deoband,5
Deoria,337
Dhampur,20
Dhanaura,39
Dhanghata,314
Dhaulana,58
Dhaurahra,141
Dibiyapur,203
Didarganj,350
Domariyaganj,306
Duddhi,403
Etah,104
Etawah,200
Etmadpur,86
Faridpur,122
Farrukhabad,194
Fatehabad,93
Fatehpur,240
FatehpurSikri,91
Fazilnagar,332
Firozabad,97
Gainsari,292
Gangoh,7
Garautha,225
Garhmukteshwar,60
Gaura,301
Gauriganj,185
Ghatampur,218
Ghaziabad,56
Ghazipur,375
Ghorawal,400
Ghosi,354
GolaGokrannath,139
Gonda,296
Gopalpur,344
Gopamau,157
GorakhpurRural,323
GorakhpurUrban,322
Goshainganj,276
Goverdhan,83
Govindnagar,212
Gunnaur,111
Gyanpur,393
Haidergarh,272
Hamirpur,228
Handia,258
Hapur,59
Harchandpur,179
Hardoi,156
Hargaon,147
Harraiya,307
Hasanpur,42
Hastinapur,45
Hata,334
Hathras,78
Husainganj,242
Iglas,77
Isauli,187
Itwa,305
Jagdishpur,184
Jahanabad,238
Jakhanian,373
Jalalabad,132
Jalalpur,280
Jalesar,106
Jangipur,376
Jasrana,96
Jaswantnagar,199
Jaunpur,366
Jewar,63
JhansiNagar,223
Kadipur,191
Kaimganj,192
Kairana,8
Kaiserganj,288
Kalpi,220
Kalyanpur,211
Kannauj,198
KanpurCantt.,216
Kanth,25
Kapilvastu,303
Kaptanganj,308
Karachhana,260
Karhal,110
Kasganj,100
Kasta,143
Katehari,277
Katra,131
KatraBazar,297
Kerakat,372
Khadda,329
Khaga,243
Khair,71
Khajani,325
Khalilabad,313
Khatauli,15
Kheragarh,92
Khurja,70
KidwaiNagar,215
Kishni,109
Kithore,46
Koil,75
Koraon,265
Kunda,246
Kundarki,29
Kursi,266
Kushinagar,333
Laharpur,148
Lakhimpur,142
Lalganj,351
Lalitpur,226
Lambhua,190
Loni,53
LucknowCantt.,175
LucknowCentral,174
LucknowEast,173
LucknowNorth,172
LucknowWest,171
Machhlishahr,369
Madhaugarh,219
Madhuban,353
Mahadewa,311
Maharajganj,318
Maharajpur,217
Mahasi,285
Mahmoodabad,151
Mahoba,230
Maholi,145
Mainpuri,107
Majhawan,397
Malhani,367
Malihabad,168
Manikpur,237
Manjhanpur,252
Mankapur,300
Mant,82
Marhara,105
Marihan,399
Mariyahu,370
Matera,284
Mathura,84
Mau,356
Mauranipur,224
Meerapur,16
Meerganj,119
Meerut,48
MeerutCantt.,47
MeerutSouth,49
Mehnagar,352
Mehnaun,295
Mehroni,227
Meja,259
Menhdawal,312
Milak,38
Milkipur,273
Mirzapur,396
Misrikh,153
ModiNagar,57
Mohammadabad,378
Mohammdi,144
Mohan,164
Mohanlalganj,176
MoradabadNagar,28
MoradabadRural,27
Mubarakpur,346
Mughalsarai,380
Muhammadabad-Gohna,355
MungraBadshahpur,368
Muradnagar,54
MuzaffarNagar,14
Nagina,18
Najibabad,17
Nakur,2
Nanpara,283
Naraini,234
NaugawanSadat,40
Nautanwa,316
Nawabganj,121
Nehtaur,21
Nighasan,138
Nizamabad,348
Noida,61
Noorpur,24
Obra,402
Orai,221
Padrauna,330
Palia,137
Paniyra,319
Pathardeva,338
Patiyali,102
Patti,249
Payagpur,287
Phaphamau,254
Pharenda,315
Phephana,360
Phoolpur-Pawai,349
Phulpur,256
Pilibhit,127
Pindra,384
Pipraich,321
Powayan,134
Pratapgarh,248
Pratappur,257
Puranpur,129
Purqazi,13
Purwa,167
RaeBareli,180
RamNagar,267
Ramkola,335
Rampur,37
RampurKarkhana,339
RampurKhas,244
RampurManiharan,6
Raniganj,250
Rasara,358
Rasulabad,205
Rath,229
Robertsganj,401
Rohaniya,387
Rudauli,271
Rudhauli,309
Rudrapur,336
Sadabad,79
Sadar,189
Safipur,163
Sagri,345
Sahajanwa,324
Saharanpur,4
SaharanpurNagar,3
Sahaswan,113
Sahibabad,55
Saidpur,374
Saiyadraja,382
Sakaldiha,381
Salempur,341
Salon,181
Sambhal,33
Sandi,158
Sandila,161
Sardhana,44
Sareni,182
SarojiniNagar,170
Sawayazpur,154
Sevapuri,391
Sevata,150
Shahabad,155
Shahganj,365
Shahjahanpur,135
Shamli,10
Shekhupur,116
Shikarpur,69
Shikohabad,98
Shivpur,386
Shohratgarh,302
Shrawasti,290
Sidhauli,152
Sikanderpur,359
Sikandra,207
SikandraRao,80
Sikandrabad,64
Sirathu,251
Sirsaganj,99
